year,crop_code,crop_name,gross_value_survey_usd_ac,operating_cost_usd_ac,return_above_operating_survey_usd_ac,total_production_cost_usd_ac,return_above_total_survey_usd_ac,price_usd_bu,survey_yield_bu_ac
1981,MZ,Maize,260.086399999999,207.37,52.7163999999999,278.599999999999,-18.5135999999999,2.38,109.28
1981,SB,Soybean,179.564,108.94,70.624,178.79,0.774,6.05,29.68
1981,SG,Sorghum,141.6375,108.38,33.2575,162.82,-21.1824999999999,2.25,62.95
1981,WT,Wheat,118.96,89.88,29.08,132.85,-13.89,3.63,31.47
1982,MZ,Maize,243.4464,210.97,32.4764,270.86,-27.4136,2.14,113.76
1982,SB,Soybean,160.6716,107.89,52.7816,172.03,-11.3584,5.13,31.32
1982,SG,Sorghum,121.620399999999,106.91,14.7103999999999,154.739999999999,-33.1195999999999,2.11,57.64
1982,WT,Wheat,114.69,88.49,26.2,132.25,-17.56,3.38,32.64
1983,MZ,Maize,252.8196,202.07,50.7496,258.45,-5.63039999999998,3.21,78.76
1983,SB,Soybean,204.474,113.79,90.684,183.81,20.664,7.95,25.72
1983,SG,Sorghum,131.463599999999,102.99,28.4735999999999,157,-25.5364,2.84,46.29
1983,WT,Wheat,132.97,94.37,38.5999999999999,140.78,-7.81,3.48,36.89
1984,MZ,Maize,272.9382,211.07,61.8682,289.02,-16.0817999999999,2.58,105.79
1984,SB,Soybean,166.617,117.62,48.997,176.48,-9.863,6.05,27.54
1984,SG,Sorghum,123.5754,100.82,22.7554,150.959999999999,-27.3845999999999,2.34,52.81
1984,WT,Wheat,118.45,94.47,23.98,135.31,-16.86,3.37,33.79
1985,MZ,Maize,252.1735,197.92,54.2534999999999,277.01,-24.8365,2.15,117.29
1985,SB,Soybean,166.0662,96.7,69.3662,170.07,-4.0038,4.86,34.17
1985,SG,Sorghum,125.190999999999,89.5,35.6909999999999,147.98,-22.789,1.9,65.89
1985,WT,Wheat,96,76.33,19.67,125.26,-29.26,2.98,31.41
1986,MZ,Maize,167.028599999999,165.6,1.42859999999998,243.119999999999,-76.0914,1.41,118.46
1986,SB,Soybean,150.5358,88.57,61.9658,161.2,-10.6642,4.57,32.94
