site_id,latitude,longitude,grid_site_status
FILL_37_0417N_102_0417W,37.0417,-102.0417,restored_grid_site
FILL_37_0417N_101_9584W,37.0417,-101.9584,restored_grid_site
FILL_37_0417N_101_8751W,37.0417,-101.8751,restored_grid_site
FILL_37_0417N_101_7918W,37.0417,-101.7918,restored_grid_site
FILL_37_0417N_101_7085W,37.0417,-101.7085,restored_grid_site
FILL_37_0417N_101_6252W,37.0417,-101.6252,restored_grid_site
FILL_37_0417N_101_5419W,37.0417,-101.5419,restored_grid_site
FILL_37_0417N_101_4586W,37.0417,-101.4586,restored_grid_site
FILL_37_0417N_101_3753W,37.0417,-101.3753,restored_grid_site
FILL_37_0417N_101_2920W,37.0417,-101.292,restored_grid_site
FILL_37_0417N_101_2087W,37.0417,-101.2087,restored_grid_site
37_0417N_101_1250W,37.0417,-101.125,observed_grid_site
37_0417N_101_0417W,37.0417,-101.0417,observed_grid_site
37_0417N_100_9583W,37.0417,-100.9583,observed_grid_site
37_0417N_100_8750W,37.0417,-100.875,observed_grid_site
37_0417N_100_7917W,37.0417,-100.7917,observed_grid_site
37_0417N_100_7083W,37.0417,-100.7083,observed_grid_site
37_0417N_100_6250W,37.0417,-100.625,observed_grid_site
37_0417N_100_5417W,37.0417,-100.5417,observed_grid_site
37_0417N_100_4583W,37.0417,-100.4583,observed_grid_site
37_0417N_100_3750W,37.0417,-100.375,observed_grid_site
37_0417N_100_2917W,37.0417,-100.2917,observed_grid_site
37_0417N_100_2083W,37.0417,-100.2083,observed_grid_site
FILL_37_0417N_100_1258W,37.0417,-100.1258,restored_grid_site
FILL_37_0417N_100_0425W,37.0417,-100.0425,restored_grid_site
FILL_37_0417N_099_9592W,37.0417,-99.9592,restored_grid_site
FILL_37_0417N_099_8759W,37.0417,-99.8759,restored_grid_site
FILL_37_0417N_099_7926W,37.0417,-99.7926,restored_grid_site
FILL_37_0417N_099_7093W,37.0417,-99.7093,restored_grid_site
FILL_37_0417N_099_6260W,37.0417,-99.626,restored_grid_site
FILL_37_0417N_099_5427W,37.0417,-99.5427,restored_grid_site
37_0417N_099_4583W,37.0417,-99.4583,observed_grid_site
37_0417N_099_3750W,37.0417,-99.375,observed_grid_site
37_0417N_099_2917W,37.0417,-99.2917,observed_grid_site
37_0417N_099_2083W,37.0417,-99.2083,observed_grid_site
37_0417N_099_1250W,37.0417,-99.125,observed_grid_site
37_0417N_099_0417W,37.0417,-99.0417,observed_grid_site
37_0417N_098_9583W,37.0417,-98.9583,observed_grid_site
37_0417N_098_8750W,37.0417,-98.875,observed_grid_site
37_0417N_098_7917W,37.0417,-98.7917,observed_grid_site
37_0417N_098_7083W,37.0417,-98.7083,observed_grid_site
37_0417N_098_6250W,37.0417,-98.625,observed_grid_site
37_0417N_098_5417W,37.0417,-98.5417,observed_grid_site
37_0417N_098_4583W,37.0417,-98.4583,observed_grid_site
37_0417N_098_3750W,37.0417,-98.375,observed_grid_site
FILL_37_0417N_098_2932W,37.0417,-98.2932,restored_grid_site
FILL_37_0417N_098_2099W,37.0417,-98.2099,restored_grid_site
FILL_37_0417N_098_1266W,37.0417,-98.1266,restored_grid_site
FILL_37_0417N_098_0433W,37.0417,-98.0433,restored_grid_site
FILL_37_0417N_097_9600W,37.0417,-97.96,restored_grid_site
FILL_37_0417N_097_8767W,37.0417,-97.8767,restored_grid_site
37_0417N_097_7917W,37.0417,-97.7917,observed_grid_site
37_0417N_097_7083W,37.0417,-97.7083,observed_grid_site
37_0417N_097_6250W,37.0417,-97.625,observed_grid_site
37_0417N_097_5417W,37.0417,-97.5417,observed_grid_site
37_0417N_097_4583W,37.0417,-97.4583,observed_grid_site
37_0417N_097_3750W,37.0417,-97.375,observed_grid_site
37_0417N_097_2917W,37.0417,-97.2917,observed_grid_site
37_0417N_097_2083W,37.0417,-97.2083,observed_grid_site
37_0417N_097_1250W,37.0417,-97.125,observed_grid_site
37_0417N_097_0417W,37.0417,-97.0417,observed_grid_site
37_0417N_096_9583W,37.0417,-96.9583,observed_grid_site
37_0417N_096_8750W,37.0417,-96.875,observed_grid_site
37_0417N_096_7917W,37.0417,-96.7917,observed_grid_site
37_0417N_096_7083W,37.0417,-96.7083,observed_grid_site
37_0417N_096_6250W,37.0417,-96.625,observed_grid_site
37_0417N_096_5417W,37.0417,-96.5417,observed_grid_site
37_0417N_096_4583W,37.0417,-96.4583,observed_grid_site
37_0417N_096_3750W,37.0417,-96.375,observed_grid_site
37_0417N_096_2917W,37.0417,-96.2917,observed_grid_site
37_0417N_096_2083W,37.0417,-96.2083,observed_grid_site
37_0417N_096_1250W,37.0417,-96.125,observed_grid_site
37_0417N_096_0417W,37.0417,-96.0417,observed_grid_site
37_0417N_095_9583W,37.0417,-95.9583,observed_grid_site
37_0417N_095_8750W,37.0417,-95.875,observed_grid_site
37_0417N_095_7917W,37.0417,-95.7917,observed_grid_site
37_0417N_095_7083W,37.0417,-95.7083,observed_grid_site
37_0417N_095_6250W,37.0417,-95.625,observed_grid_site
37_0417N_095_5417W,37.0417,-95.5417,observed_grid_site
37_0417N_095_4583W,37.0417,-95.4583,observed_grid_site
37_0417N_095_3750W,37.0417,-95.375,observed_grid_site
37_0417N_095_2917W,37.0417,-95.2917,observed_grid_site
37_0417N_095_2083W,37.0417,-95.2083,observed_grid_site
37_0417N_095_1250W,37.0417,-95.125,observed_grid_site
37_0417N_095_0417W,37.0417,-95.0417,observed_grid_site
37_0417N_094_9583W,37.0417,-94.9583,observed_grid_site
37_0417N_094_8750W,37.0417,-94.875,observed_grid_site
37_0417N_094_7917W,37.0417,-94.7917,observed_grid_site
37_0417N_094_7083W,37.0417,-94.7083,observed_grid_site
37_0417N_094_6250W,37.0417,-94.625,observed_grid_site
FILL_37_1250N_102_0417W,37.125,-102.0417,restored_grid_site
FILL_37_1250N_101_9584W,37.125,-101.9584,restored_grid_site
FILL_37_1250N_101_8751W,37.125,-101.8751,restored_grid_site
FILL_37_1250N_101_7918W,37.125,-101.7918,restored_grid_site
FILL_37_1250N_101_7085W,37.125,-101.7085,restored_grid_site
FILL_37_1250N_101_6252W,37.125,-101.6252,restored_grid_site
FILL_37_1250N_101_5419W,37.125,-101.5419,restored_grid_site
FILL_37_1250N_101_4586W,37.125,-101.4586,restored_grid_site
FILL_37_1250N_101_3753W,37.125,-101.3753,restored_grid_site
FILL_37_1250N_101_2920W,37.125,-101.292,restored_grid_site
FILL_37_1250N_101_2087W,37.125,-101.2087,restored_grid_site
37_1250N_101_1250W,37.125,-101.125,observed_grid_site
37_1250N_101_0417W,37.125,-101.0417,observed_grid_site
37_1250N_100_9583W,37.125,-100.9583,observed_grid_site
37_1250N_100_8750W,37.125,-100.875,observed_grid_site
37_1250N_100_7917W,37.125,-100.7917,observed_grid_site
37_1250N_100_7083W,37.125,-100.7083,observed_grid_site
37_1250N_100_6250W,37.125,-100.625,observed_grid_site
37_1250N_100_5417W,37.125,-100.5417,observed_grid_site
37_1250N_100_4583W,37.125,-100.4583,observed_grid_site
37_1250N_100_3750W,37.125,-100.375,observed_grid_site
37_1250N_100_2917W,37.125,-100.2917,observed_grid_site
FILL_37_1250N_100_2091W,37.125,-100.2091,restored_grid_site
FILL_37_1250N_100_1258W,37.125,-100.1258,restored_grid_site
FILL_37_1250N_100_0425W,37.125,-100.0425,restored_grid_site
FILL_37_1250N_099_9592W,37.125,-99.9592,restored_grid_site
FILL_37_1250N_099_8759W,37.125,-99.8759,restored_grid_site
FILL_37_1250N_099_7926W,37.125,-99.7926,restored_grid_site
FILL_37_1250N_099_7093W,37.125,-99.7093,restored_grid_site
FILL_37_1250N_099_6260W,37.125,-99.626,restored_grid_site
37_1250N_099_5417W,37.125,-99.5417,observed_grid_site
37_1250N_099_4583W,37.125,-99.4583,observed_grid_site
37_1250N_099_3750W,37.125,-99.375,observed_grid_site
37_1250N_099_2917W,37.125,-99.2917,observed_grid_site
37_1250N_099_2083W,37.125,-99.2083,observed_grid_site
37_1250N_099_1250W,37.125,-99.125,observed_grid_site
37_1250N_099_0417W,37.125,-99.0417,observed_grid_site
37_1250N_098_9583W,37.125,-98.9583,observed_grid_site
37_1250N_098_8750W,37.125,-98.875,observed_grid_site
37_1250N_098_7917W,37.125,-98.7917,observed_grid_site
37_1250N_098_7083W,37.125,-98.7083,observed_grid_site
37_1250N_098_6250W,37.125,-98.625,observed_grid_site
37_1250N_098_5417W,37.125,-98.5417,observed_grid_site
37_1250N_098_4583W,37.125,-98.4583,observed_grid_site
37_1250N_098_3750W,37.125,-98.375,observed_grid_site
FILL_37_1250N_098_2932W,37.125,-98.2932,restored_grid_site
FILL_37_1250N_098_2099W,37.125,-98.2099,restored_grid_site
FILL_37_1250N_098_1266W,37.125,-98.1266,restored_grid_site
FILL_37_1250N_098_0433W,37.125,-98.0433,restored_grid_site
FILL_37_1250N_097_9600W,37.125,-97.96,restored_grid_site
FILL_37_1250N_097_8767W,37.125,-97.8767,restored_grid_site
37_1250N_097_7917W,37.125,-97.7917,observed_grid_site
37_1250N_097_7083W,37.125,-97.7083,observed_grid_site
37_1250N_097_6250W,37.125,-97.625,observed_grid_site
37_1250N_097_5417W,37.125,-97.5417,observed_grid_site
37_1250N_097_4583W,37.125,-97.4583,observed_grid_site
37_1250N_097_3750W,37.125,-97.375,observed_grid_site
37_1250N_097_2917W,37.125,-97.2917,observed_grid_site
37_1250N_097_2083W,37.125,-97.2083,observed_grid_site
37_1250N_097_1250W,37.125,-97.125,observed_grid_site
37_1250N_097_0417W,37.125,-97.0417,observed_grid_site
37_1250N_096_9583W,37.125,-96.9583,observed_grid_site
37_1250N_096_8750W,37.125,-96.875,observed_grid_site
37_1250N_096_7917W,37.125,-96.7917,observed_grid_site
37_1250N_096_7083W,37.125,-96.7083,observed_grid_site
37_1250N_096_6250W,37.125,-96.625,observed_grid_site
37_1250N_096_5417W,37.125,-96.5417,observed_grid_site
37_1250N_096_4583W,37.125,-96.4583,observed_grid_site
37_1250N_096_3750W,37.125,-96.375,observed_grid_site
37_1250N_096_2917W,37.125,-96.2917,observed_grid_site
37_1250N_096_2083W,37.125,-96.2083,observed_grid_site
37_1250N_096_1250W,37.125,-96.125,observed_grid_site
37_1250N_096_0417W,37.125,-96.0417,observed_grid_site
37_1250N_095_9583W,37.125,-95.9583,observed_grid_site
37_1250N_095_8750W,37.125,-95.875,observed_grid_site
37_1250N_095_7917W,37.125,-95.7917,observed_grid_site
37_1250N_095_7083W,37.125,-95.7083,observed_grid_site
37_1250N_095_6250W,37.125,-95.625,observed_grid_site
37_1250N_095_5417W,37.125,-95.5417,observed_grid_site
37_1250N_095_4583W,37.125,-95.4583,observed_grid_site
37_1250N_095_3750W,37.125,-95.375,observed_grid_site
37_1250N_095_2917W,37.125,-95.2917,observed_grid_site
37_1250N_095_2083W,37.125,-95.2083,observed_grid_site
37_1250N_095_1250W,37.125,-95.125,observed_grid_site
37_1250N_095_0417W,37.125,-95.0417,observed_grid_site
37_1250N_094_9583W,37.125,-94.9583,observed_grid_site
37_1250N_094_8750W,37.125,-94.875,observed_grid_site
37_1250N_094_7917W,37.125,-94.7917,observed_grid_site
37_1250N_094_7083W,37.125,-94.7083,observed_grid_site
37_1250N_094_6250W,37.125,-94.625,observed_grid_site
FILL_37_2083N_102_0417W,37.2083,-102.0417,restored_grid_site
FILL_37_2083N_101_9584W,37.2083,-101.9584,restored_grid_site
FILL_37_2083N_101_8751W,37.2083,-101.8751,restored_grid_site
FILL_37_2083N_101_7918W,37.2083,-101.7918,restored_grid_site
FILL_37_2083N_101_7085W,37.2083,-101.7085,restored_grid_site
