base_system,water_regime,first_year,last_year,years,crops,rows,mean_sites
MZ,Irrigated,1981,2018,38,MZ,38,2776.0
MZ,Potential,1981,2018,38,MZ,38,2776.0
MZ,Rainfed,1981,2018,38,MZ,38,2776.0
SB,Irrigated,1981,2018,38,SB,38,2776.0
SB,Rainfed,1981,2018,38,SB,38,2776.0
SB-MZ,Irrigated,1981,2018,38,"MZ,SB",38,2776.0
SB-MZ-SG,Potential,1981,2018,38,"MZ,SB,SG",38,2776.0
SB-MZ-SG,Rainfed,1981,2018,38,"MZ,SB,SG",38,2776.0
SB-MZ-SG-WT,Irrigated,1981,2018,29,"MZ,SB,SG",29,2776.0
SB-MZ-SG-WT,Rainfed,1981,2018,29,"MZ,SB,SG",29,2776.0
SG,Irrigated,1981,2018,38,SG,38,2776.0
SG,Rainfed,1981,2018,38,SG,38,2776.0
WT,Potential,1982,2018,37,WT,37,2773.972972972973
WT,Rainfed,1982,2018,37,WT,37,2773.972972972973
